Logged started on,01/08/2020 22:27:58
Feature,Accelerometer
Nodes,AM1V310 @395030

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
01/08/2020 22:43:45.955,947082,AM1V310 @395030,120129,2701FC02F8FE,295,764,-264
01/08/2020 22:43:46.015,947137,AM1V310 @395030,120135,C701C402CCFE,455,708,-308
01/08/2020 22:43:46.136,947258,AM1V310 @395030,120141,D102A001C3FE,721,416,-317
01/08/2020 22:43:46.136,947260,AM1V310 @395030,120147,5201DA0591FF,338,1498,-111
01/08/2020 22:43:46.167,947289,AM1V310 @395030,120154,9CFEE10386FF,-356,993,-122
01/08/2020 22:43:46.226,947347,AM1V310 @395030,120160,F100C70252FF,241,711,-174
01/08/2020 22:43:46.256,947378,AM1V310 @395030,120166,ED01780399FF,493,888,-103
01/08/2020 22:43:46.316,947439,AM1V310 @395030,120172,A502E502ACFF,677,741,-84
01/08/2020 22:43:46.435,947558,AM1V310 @395030,120179,C5059802A9FF,1477,664,-87
01/08/2020 22:43:46.468,947590,AM1V310 @395030,120191,26FFCD07D2FC,-218,1997,-814
01/08/2020 22:43:46.468,947590,AM1V310 @395030,120185,6804C307E7FE,1128,1987,-281
01/08/2020 22:43:46.526,947647,AM1V310 @395030,120197,6DFB3E078302,-1171,1854,643
01/08/2020 22:43:46.645,947768,AM1V310 @395030,120204,32F84D0285FF,-1998,589,-123
01/08/2020 22:43:46.646,947769,AM1V310 @395030,120210,F6FE38042000,-266,1080,32
01/08/2020 22:43:46.680,947802,AM1V310 @395030,120216,7A02CD07AEFE,634,1997,-338
01/08/2020 22:43:46.766,947889,AM1V310 @395030,120229,3705D6048FFE,1335,1238,-369
01/08/2020 22:43:46.765,947889,AM1V310 @395030,120222,1506C206E1FB,1557,1730,-1055
01/08/2020 22:43:46.916,948039,AM1V310 @395030,120241,EE0355FC1EFF,1006,-939,-226
01/08/2020 22:43:46.916,948040,AM1V310 @395030,120235,E604CAFFFDFD,1254,-54,-515
01/08/2020 22:43:46.949,948071,AM1V310 @395030,120247,E605E2FFF7FF,1510,-30,-9
01/08/2020 22:43:47.096,948219,AM1V310 @395030,120260,0500D7049AFF,5,1239,-102
01/08/2020 22:43:47.096,948220,AM1V310 @395030,120266,F9FEB50665FD,-263,1717,-667
01/08/2020 22:43:47.096,948221,AM1V310 @395030,120254,B100C2052201,177,1474,290
01/08/2020 22:43:47.127,948248,AM1V310 @395030,120272,A804E4FF1DFF,1192,-28,-227
01/08/2020 22:43:47.185,948307,AM1V310 @395030,120279,AFFFAB072DFF,-81,1963,-211
01/08/2020 22:43:47.215,948337,AM1V310 @395030,120285,6F049B07AFFF,1135,1947,-81
01/08/2020 22:43:47.305,948428,AM1V310 @395030,120291,85FECD07E0FC,-379,1997,-800
01/08/2020 22:43:47.365,948487,AM1V310 @395030,120297,32F896068101,-1998,1686,385
01/08/2020 22:43:47.397,948519,AM1V310 @395030,120304,FEF9EF05C0FE,-1538,1519,-320
01/08/2020 22:43:47.575,948699,AM1V310 @395030,120310,F200530416FD,242,1107,-746
01/08/2020 22:43:47.576,948700,AM1V310 @395030,120316,8F07CD077BFD,1935,1997,-645
01/08/2020 22:43:47.576,948701,AM1V310 @395030,120322,CE07390311FF,1998,825,-239
01/08/2020 22:43:47.610,948732,AM1V310 @395030,120329,DA0581FFF2FF,1498,-127,-14
01/08/2020 22:43:47.665,948786,AM1V310 @395030,120335,B00132F88EFF,432,-1998,-114
01/08/2020 22:43:47.676,948798,AM1V310 @395030,120341,CE07C101C4FF,1998,449,-60
01/08/2020 22:43:47.725,948847,AM1V310 @395030,120347,10026E059B01,528,1390,411
01/08/2020 22:43:47.816,948939,AM1V310 @395030,120360,38FE530777FF,-456,1875,-137
01/08/2020 22:43:47.815,948939,AM1V310 @395030,120354,B103F5025BFF,945,757,-165
01/08/2020 22:43:47.876,948998,AM1V310 @395030,120366,4F0639FE53FA,1615,-455,-1453
01/08/2020 22:43:47.906,949027,AM1V310 @395030,120372,7D0631062502,1661,1585,549
01/08/2020 22:43:47.965,949088,AM1V310 @395030,120379,0600CD07BDFD,6,1997,-579
01/08/2020 22:43:48.085,949208,AM1V310 @395030,120385,32F8B2069301,-1998,1714,403
01/08/2020 22:43:48.086,949209,AM1V310 @395030,120391,47FD420624FD,-697,1602,-732
01/08/2020 22:43:48.119,949241,AM1V310 @395030,120397,6201FA054BFC,354,1530,-949
