Logged started on,01/08/2020 22:27:58
Feature,Magnetometer
Nodes,AM1V310 @395030

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
01/08/2020 22:35:05.349,426481,AM1V310 @395030,55041,4CFE4FFFA701,-436,-177,423
01/08/2020 22:35:05.349,426482,AM1V310 @395030,55035,6FFE25FFC201,-401,-219,450
01/08/2020 22:35:05.520,426643,AM1V310 @395030,55047,39FE58FF8301,-455,-168,387
01/08/2020 22:35:05.520,426644,AM1V310 @395030,55054,30FE61FF8A01,-464,-159,394
01/08/2020 22:35:05.521,426645,AM1V310 @395030,55060,31FE5CFF8C01,-463,-164,396
01/08/2020 22:35:05.551,426674,AM1V310 @395030,55066,34FE3BFF7B01,-460,-197,379
01/08/2020 22:35:05.583,426704,AM1V310 @395030,55072,3DFE0BFF7001,-451,-245,368
01/08/2020 22:35:05.700,426823,AM1V310 @395030,55079,49FEF2FE6D01,-439,-270,365
01/08/2020 22:35:05.790,426912,AM1V310 @395030,55085,5EFEDAFE7A01,-418,-294,378
01/08/2020 22:35:05.820,426942,AM1V310 @395030,55091,84FEBDFE9001,-380,-323,400
01/08/2020 22:35:05.820,426943,AM1V310 @395030,55097,ACFEA7FE9801,-340,-345,408
01/08/2020 22:35:05.879,427001,AM1V310 @395030,55104,D6FE6EFE9C01,-298,-402,412
01/08/2020 22:35:05.891,427013,AM1V310 @395030,55110,15FF56FEA501,-235,-426,421
01/08/2020 22:35:05.940,427062,AM1V310 @395030,55116,26FF5DFEB301,-218,-419,435
01/08/2020 22:35:05.971,427092,AM1V310 @395030,55122,F9FE83FEC901,-263,-381,457
01/08/2020 22:35:06.210,427333,AM1V310 @395030,55129,B7FECCFED401,-329,-308,468
01/08/2020 22:35:06.210,427334,AM1V310 @395030,55135,79FE2FFFD501,-391,-209,469
01/08/2020 22:35:06.211,427335,AM1V310 @395030,55141,58FE62FFB901,-424,-158,441
01/08/2020 22:35:06.244,427366,AM1V310 @395030,55147,40FE92FFAE01,-448,-110,430
01/08/2020 22:35:06.244,427366,AM1V310 @395030,55154,40FEBBFFB001,-448,-69,432
01/08/2020 22:35:06.330,427454,AM1V310 @395030,55160,3FFEC5FFB101,-449,-59,433
01/08/2020 22:35:06.331,427454,AM1V310 @395030,55166,36FEB2FFAE01,-458,-78,430
