Logged started on,01/08/2020 22:27:58
Feature,Accelerometer
Nodes,AM1V310 @395030

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
01/08/2020 22:28:50.971,52106,AM1V310 @395030,7604,1D019A035BFF,285,922,-165
01/08/2020 22:28:51.061,52184,AM1V310 @395030,7610,2701A7035EFF,295,935,-162
01/08/2020 22:28:51.090,52212,AM1V310 @395030,7622,0F01B60358FF,271,950,-168
01/08/2020 22:28:51.090,52213,AM1V310 @395030,7616,230183034AFF,291,899,-182
01/08/2020 22:28:51.120,52242,AM1V310 @395030,7629,0B01A30366FF,267,931,-154
01/08/2020 22:28:51.150,52272,AM1V310 @395030,7829,1A019C0354FF,282,924,-172
01/08/2020 22:28:51.180,52302,AM1V310 @395030,8029,0E01970339FF,270,919,-199
01/08/2020 22:28:51.190,52312,AM1V310 @395030,8035,1801970338FF,280,919,-200
01/08/2020 22:28:52.501,53624,AM1V310 @395030,8429,7E02AF024400,638,687,68
01/08/2020 22:28:52.591,53714,AM1V310 @395030,8441,A80435FB2900,1192,-1227,41
01/08/2020 22:28:52.590,53714,AM1V310 @395030,8435,36F84E05DBFC,-1994,1358,-805
01/08/2020 22:28:52.621,53743,AM1V310 @395030,8447,1702FC03EAFE,535,1020,-278
01/08/2020 22:28:52.681,53803,AM1V310 @395030,8454,0704CD07A400,1031,1997,164
01/08/2020 22:28:52.771,53893,AM1V310 @395030,8460,25FBCD07C8FB,-1243,1997,-1080
01/08/2020 22:28:52.803,53925,AM1V310 @395030,8466,32F87C067101,-1998,1660,369
01/08/2020 22:28:52.861,53983,AM1V310 @395030,8472,32F8A604DDFF,-1998,1190,-35
01/08/2020 22:28:52.921,54044,AM1V310 @395030,8479,F0FFA9024EFC,-16,681,-946
01/08/2020 22:28:53.010,54133,AM1V310 @395030,8485,6C04CD07D5FE,1132,1997,-299
01/08/2020 22:28:53.011,54134,AM1V310 @395030,8491,CE07A60647FD,1998,1702,-697
01/08/2020 22:28:53.071,54193,AM1V310 @395030,8497,E305120013FE,1507,18,-493
01/08/2020 22:28:53.160,54283,AM1V310 @395030,8504,AD062CFD78FE,1709,-724,-392
01/08/2020 22:28:53.192,54314,AM1V310 @395030,8516,9F02A201A3FF,671,418,-93
01/08/2020 22:28:53.192,54314,AM1V310 @395030,8510,7E05D3FD9100,1406,-557,145
01/08/2020 22:28:53.221,54343,AM1V310 @395030,8522,E0FCCD07F6FF,-800,1997,-10
01/08/2020 22:28:53.281,54403,AM1V310 @395030,8529,34FD1302A8FE,-716,531,-344
01/08/2020 22:28:53.371,54494,AM1V310 @395030,8535,CE07FBFD9500,1998,-517,149
01/08/2020 22:28:53.430,54553,AM1V310 @395030,8541,3EFCBD07CFFE,-962,1981,-305
