Logged started on,01/08/2020 22:27:58
Feature,Gyroscope
Nodes,AM1V310 @395030

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
01/08/2020 22:39:18.419,679559,AM1V310 @395030,86647,1C00AA004A00,2.8,17,7.4
01/08/2020 22:39:18.419,679564,AM1V310 @395030,86660,35008500F2FF,5.3,13.3,-1.4
01/08/2020 22:39:18.419,679565,AM1V310 @395030,86654,3000CB00F1FF,4.8,20.3,-1.5
01/08/2020 22:39:18.452,679573,AM1V310 @395030,86666,0B002B005A00,1.1,4.3,9
01/08/2020 22:39:18.452,679574,AM1V310 @395030,86672,1E00F9FF9300,3,-0.7,14.7
01/08/2020 22:39:18.452,679574,AM1V310 @395030,86679,1600DDFFC100,2.2,-3.5,19.3
01/08/2020 22:39:18.478,679600,AM1V310 @395030,86685,1E00ADFF0C01,3,-8.3,26.8
01/08/2020 22:39:18.538,679660,AM1V310 @395030,86691,25002EFF3901,3.7,-21,31.3
01/08/2020 22:39:18.552,679673,AM1V310 @395030,86697,0E00E4FE9B01,1.4,-28.4,41.1
01/08/2020 22:39:18.599,679721,AM1V310 @395030,86704,4500A2FED201,6.9,-35,46.6
01/08/2020 22:39:18.659,679782,AM1V310 @395030,86710,2C0045FE6102,4.4,-44.3,60.9
01/08/2020 22:39:18.749,679871,AM1V310 @395030,86716,060199FED102,26.2,-35.9,72.1
01/08/2020 22:39:18.749,679872,AM1V310 @395030,86722,FE0073FFD302,25.4,-14.1,72.3
01/08/2020 22:39:18.809,679931,AM1V310 @395030,86729,E401C2FF8602,48.4,-6.2,64.6
01/08/2020 22:39:18.929,680051,AM1V310 @395030,86741,FB013B0214FF,50.7,57.1,-23.6
01/08/2020 22:39:18.928,680052,AM1V310 @395030,86735,C70242016003,71.1,32.2,86.4
01/08/2020 22:39:18.959,680081,AM1V310 @395030,86747,DC00000015FC,22,0,-100.3
01/08/2020 22:39:18.989,680111,AM1V310 @395030,86754,3BFFECFD71F7,-19.7,-53.2,-219.1
01/08/2020 22:39:19.138,680260,AM1V310 @395030,86760,86FEE5FC44F4,-37.8,-79.5,-300.4
01/08/2020 22:39:19.138,680260,AM1V310 @395030,86766,59FC4EFE95F4,-93.5,-43.4,-292.3
01/08/2020 22:39:19.162,680284,AM1V310 @395030,86772,43FED30010FB,-44.5,21.1,-126.4
01/08/2020 22:39:19.198,680320,AM1V310 @395030,86779,F4FFF1FF13FE,-1.2,-1.5,-49.3
01/08/2020 22:39:19.289,680413,AM1V310 @395030,86785,A201C7FE7103,41.8,-31.3,88.1
01/08/2020 22:39:19.289,680413,AM1V310 @395030,86791,58FE7F000406,-42.4,12.7,154
01/08/2020 22:39:19.349,680471,AM1V310 @395030,86797,DFFE77048703,-28.9,114.3,90.3
01/08/2020 22:39:19.469,680593,AM1V310 @395030,86810,9F0187FDD406,41.5,-63.3,174.8
01/08/2020 22:39:19.469,680593,AM1V310 @395030,86804,1F00EB00DB05,3.1,23.5,149.9
01/08/2020 22:39:19.529,680651,AM1V310 @395030,86816,58026C016D05,60,36.4,138.9
01/08/2020 22:39:19.649,680771,AM1V310 @395030,86829,B6016D001F05,43.8,10.9,131.1
01/08/2020 22:39:19.648,680772,AM1V310 @395030,86822,0E0123FF2605,27,-22.1,131.8
01/08/2020 22:39:19.683,680805,AM1V310 @395030,86835,AB0122FFD403,42.7,-22.2,98
01/08/2020 22:39:19.738,680860,AM1V310 @395030,86841,D30104FC21FC,46.7,-102,-99.1
01/08/2020 22:39:19.751,680872,AM1V310 @395030,86847,A9FD36FDDFF4,-59.9,-71.4,-284.9
01/08/2020 22:39:19.829,680952,AM1V310 @395030,86854,8CFC31FF49EF,-88.4,-20.7,-427.9
01/08/2020 22:39:19.979,681101,AM1V310 @395030,86866,A3FFBAFE53FA,-9.3,-32.6,-145.3
01/08/2020 22:39:19.979,681103,AM1V310 @395030,86860,3FFB72037EF5,-121.7,88.2,-269
01/08/2020 22:39:20.013,681135,AM1V310 @395030,86872,36043A027C01,107.8,57,38
01/08/2020 22:39:20.013,681135,AM1V310 @395030,86879,A9FD49FF5C00,-59.9,-18.3,9.2
01/08/2020 22:39:20.039,681161,AM1V310 @395030,86885,C7FB3A07D305,-108.1,185,149.1
01/08/2020 22:39:20.129,681251,AM1V310 @395030,86891,3202DF05B008,56.2,150.3,222.4
01/08/2020 22:39:20.163,681285,AM1V310 @395030,86897,CEFCCCFDE005,-81.8,-56.4,150.4
01/08/2020 22:39:20.219,681341,AM1V310 @395030,86904,4102E3FFA607,57.7,-2.9,195.8
01/08/2020 22:39:20.249,681371,AM1V310 @395030,86910,BBFD3F022B06,-58.1,57.5,157.9
01/08/2020 22:39:20.458,681581,AM1V310 @395030,86916,9F01BB037107,41.5,95.5,190.5
01/08/2020 22:39:20.459,681583,AM1V310 @395030,86922,1D04C5F6DB03,105.3,-236.3,98.7
01/08/2020 22:39:20.491,681613,AM1V310 @395030,86935,DDFF28FAFFF2,-3.5,-149.6,-332.9
01/08/2020 22:39:20.491,681613,AM1V310 @395030,86929,4B00ABFC95FA,7.5,-85.3,-138.7
01/08/2020 22:39:20.578,681701,AM1V310 @395030,86941,97FB98FE6AEF,-112.9,-36,-424.6
01/08/2020 22:39:20.579,681704,AM1V310 @395030,86947,32FB29028AF6,-123,55.3,-242.2
01/08/2020 22:39:20.669,681792,AM1V310 @395030,86960,79050E04BC03,140.1,103.8,95.6
01/08/2020 22:39:20.668,681792,AM1V310 @395030,86954,70FF01FD11F7,-14.4,-76.7,-228.7
01/08/2020 22:39:20.700,681822,AM1V310 @395030,86966,2DFAF7FC2202,-149.1,-77.7,54.6
01/08/2020 22:39:20.758,681880,AM1V310 @395030,86972,12F671013205,-254.2,36.9,133
01/08/2020 22:39:20.789,681911,AM1V310 @395030,86979,FA043808840F,127.4,210.4,397.2
01/08/2020 22:39:20.849,681972,AM1V310 @395030,86985,9900ECFB3F0B,15.3,-104.4,287.9
01/08/2020 22:39:21.028,682151,AM1V310 @395030,86991,FEFF88026E08,-0.2,64.8,215.8
01/08/2020 22:39:21.062,682184,AM1V310 @395030,86997,A2FDEFFBC408,-60.6,-104.1,224.4
01/08/2020 22:39:21.063,682185,AM1V310 @395030,87004,8F01AFFF5A09,39.9,-8.1,239.4
01/08/2020 22:39:21.063,682185,AM1V310 @395030,87010,1003E1FEFFFE,78.4,-28.7,-25.7
01/08/2020 22:39:21.089,682210,AM1V310 @395030,87016,FDFFECFC1AF6,-0.3,-78.8,-253.4
01/08/2020 22:39:21.149,682271,AM1V310 @395030,87022,CBFDFFFDF4ED,-56.5,-51.3,-462
01/08/2020 22:39:21.239,682363,AM1V310 @395030,87029,13FBA8FF1FF2,-126.1,-8.8,-355.3
01/08/2020 22:39:21.239,682363,AM1V310 @395030,87035,D8FE5DFEFBF4,-29.6,-41.9,-282.1
01/08/2020 22:39:21.299,682421,AM1V310 @395030,87041,2402A3001DFD,54.8,16.3,-73.9
01/08/2020 22:39:21.358,682480,AM1V310 @395030,87047,C400C3009FFB,19.6,19.5,-112.1
01/08/2020 22:39:21.389,682510,AM1V310 @395030,87054,37FF4EFDD905,-20.1,-69,149.7
01/08/2020 22:39:21.449,682572,AM1V310 @395030,87060,D3FA60F64D07,-132.5,-246.4,186.9
01/08/2020 22:39:21.539,682664,AM1V310 @395030,87072,C302D6004009,70.7,21.4,236.8
01/08/2020 22:39:21.539,682664,AM1V310 @395030,87066,F80125017809,50.4,29.3,242.4
01/08/2020 22:39:21.629,682751,AM1V310 @395030,87079,73000B009F08,11.5,1.1,220.7
01/08/2020 22:39:21.664,682786,AM1V310 @395030,87085,A2003203D605,16.2,81.8,149.4
01/08/2020 22:39:21.689,682811,AM1V310 @395030,87091,160251FD6505,53.4,-68.7,138.1
01/08/2020 22:39:21.749,682870,AM1V310 @395030,87097,CF01C8FCDEFC,46.3,-82.4,-80.2
01/08/2020 22:39:21.838,682963,AM1V310 @395030,87104,0EFF86FA1AF5,-24.2,-140.2,-279
01/08/2020 22:39:21.839,682964,AM1V310 @395030,87110,A0FC6FFE8BEF,-86.4,-40.1,-421.3
01/08/2020 22:39:21.899,683021,AM1V310 @395030,87116,D7FBB501D3F5,-106.5,43.7,-260.5
01/08/2020 22:39:21.989,683113,AM1V310 @395030,87129,5C066806C103,162.8,164,96.1
01/08/2020 22:39:21.989,683113,AM1V310 @395030,87122,B0FECBFC00F5,-33.6,-82.1,-281.6
01/08/2020 22:39:22.049,683171,AM1V310 @395030,87135,23FA50FD2400,-150.1,-68.8,3.6
01/08/2020 22:39:22.108,683230,AM1V310 @395030,87141,450BEB07550B,288.5,202.7,290.1
01/08/2020 22:39:22.138,683260,AM1V310 @395030,87147,CFFC84F7DB05,-81.7,-217.2,149.9
01/08/2020 22:39:22.348,683471,AM1V310 @395030,87154,87FF68FE8F07,-12.1,-40.8,193.5
01/08/2020 22:39:22.383,683505,AM1V310 @395030,87160,7D01A9021808,38.1,68.1,207.2
01/08/2020 22:39:22.383,683505,AM1V310 @395030,87166,CFFE9EFDF609,-30.5,-61,255
01/08/2020 22:39:22.383,683505,AM1V310 @395030,87172,3E0118017707,31.8,28,191.1
01/08/2020 22:39:22.498,683622,AM1V310 @395030,87179,510379F9BF02,84.9,-167.1,70.3
01/08/2020 22:39:22.499,683623,AM1V310 @395030,87185,F0FF18FD75F9,-1.6,-74.4,-167.5
01/08/2020 22:39:22.533,683655,AM1V310 @395030,87191,DCFEB9FBE3F3,-29.2,-109.5,-310.1
01/08/2020 22:39:22.588,683709,AM1V310 @395030,87197,DCFAF6FD34F1,-131.6,-52.2,-378.8
01/08/2020 22:39:22.601,683722,AM1V310 @395030,87204,23FC11013EF7,-98.9,27.3,-224.2
01/08/2020 22:39:22.649,683771,AM1V310 @395030,87210,CEFD9EFDD0F5,-56.2,-61,-260.8
01/08/2020 22:39:22.739,683862,AM1V310 @395030,87222,08F8C0FD3D02,-204,-57.6,57.3
01/08/2020 22:39:22.738,683863,AM1V310 @395030,87216,CD057504A100,148.5,114.1,16.1
01/08/2020 22:39:22.799,683921,AM1V310 @395030,87229,DEF56D08ED06,-259.4,215.7,177.3
01/08/2020 22:39:22.858,683980,AM1V310 @395030,87235,2709C602F00C,234.3,71,331.2
01/08/2020 22:39:22.889,684011,AM1V310 @395030,87241,A5FE0C027107,-34.7,52.4,190.5
01/08/2020 22:39:23.458,684580,AM1V310 @395030,87247,AC00EA019A06,17.2,49,169
01/08/2020 22:39:23.459,684582,AM1V310 @395030,87260,D701CE029406,47.1,71.8,168.4
01/08/2020 22:39:23.458,684583,AM1V310 @395030,87254,D6FD1C008907,-55.4,2.8,192.9
01/08/2020 22:39:23.483,684605,AM1V310 @395030,87266,D80352F80E02,98.4,-196.6,52.6
01/08/2020 22:39:23.483,684605,AM1V310 @395030,87272,CDFD24FE9EF6,-56.3,-47.6,-240.2
01/08/2020 22:39:23.483,684606,AM1V310 @395030,87285,5DFB5000E1F3,-118.7,8,-310.3
01/08/2020 22:39:23.483,684606,AM1V310 @395030,87279,4FFE33FAB6F1,-43.3,-148.5,-365.8
01/08/2020 22:39:23.483,684606,AM1V310 @395030,87291,F4FB4B018CF5,-103.6,33.1,-267.6
01/08/2020 22:39:25.078,686200,AM1V310 @395030,87497,6CF5AAFBC903,-270.8,-111,96.9
01/08/2020 22:39:25.078,686200,AM1V310 @395030,87491,B9FEB4009003,-32.7,18,91.2
