Logged started on,01/08/2020 22:27:58
Feature,Magnetometer
Nodes,AM1V310 @395030

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
01/08/2020 22:39:18.419,679564,AM1V310 @395030,86654,67FE01FF9501,-409,-255,405
01/08/2020 22:39:18.419,679565,AM1V310 @395030,86647,69FE08FF9301,-407,-248,403
01/08/2020 22:39:18.419,679565,AM1V310 @395030,86660,6AFE0AFF9B01,-406,-246,411
01/08/2020 22:39:18.452,679573,AM1V310 @395030,86666,64FE07FF9601,-412,-249,406
01/08/2020 22:39:18.452,679574,AM1V310 @395030,86672,6DFEFBFE9801,-403,-261,408
01/08/2020 22:39:18.452,679574,AM1V310 @395030,86679,6FFEFCFE9601,-401,-260,406
01/08/2020 22:39:18.478,679600,AM1V310 @395030,86685,76FEF6FE9901,-394,-266,409
01/08/2020 22:39:18.538,679660,AM1V310 @395030,86691,79FEEFFE9601,-391,-273,406
01/08/2020 22:39:18.552,679673,AM1V310 @395030,86697,8BFEECFE9901,-373,-276,409
01/08/2020 22:39:18.599,679720,AM1V310 @395030,86704,8DFEE1FEA801,-371,-287,424
01/08/2020 22:39:18.659,679782,AM1V310 @395030,86710,A5FEE7FEAD01,-347,-281,429
01/08/2020 22:39:18.749,679872,AM1V310 @395030,86722,B4FEC9FEBD01,-332,-311,445
01/08/2020 22:39:18.749,679872,AM1V310 @395030,86716,B8FECEFEA801,-328,-306,424
01/08/2020 22:39:18.809,679931,AM1V310 @395030,86729,DCFEC0FEC601,-292,-320,454
01/08/2020 22:39:18.928,680052,AM1V310 @395030,86735,F3FEA7FED101,-269,-345,465
01/08/2020 22:39:18.929,680053,AM1V310 @395030,86741,29FF8CFEDE01,-215,-372,478
01/08/2020 22:39:18.959,680081,AM1V310 @395030,86747,1AFF84FECB01,-230,-380,459
01/08/2020 22:39:18.989,680110,AM1V310 @395030,86754,DFFEC0FEDA01,-289,-320,474
01/08/2020 22:39:19.138,680260,AM1V310 @395030,86760,99FE1DFFE401,-359,-227,484
01/08/2020 22:39:19.138,680261,AM1V310 @395030,86766,69FE76FFD801,-407,-138,472
01/08/2020 22:39:19.162,680284,AM1V310 @395030,86772,46FEB8FFC001,-442,-72,448
01/08/2020 22:39:19.198,680320,AM1V310 @395030,86779,49FED7FFB701,-439,-41,439
01/08/2020 22:39:19.289,680413,AM1V310 @395030,86791,4BFEA1FFC201,-437,-95,450
01/08/2020 22:39:19.289,680414,AM1V310 @395030,86785,46FEC7FFC501,-442,-57,453
01/08/2020 22:39:19.349,680471,AM1V310 @395030,86797,4FFE6EFFBA01,-433,-146,442
01/08/2020 22:39:19.469,680592,AM1V310 @395030,86804,5EFE20FFAB01,-418,-224,427
01/08/2020 22:39:19.469,680592,AM1V310 @395030,86810,7BFE08FFBC01,-389,-248,444
01/08/2020 22:39:19.529,680651,AM1V310 @395030,86816,A6FEDEFEC901,-346,-290,457
01/08/2020 22:39:19.649,680772,AM1V310 @395030,86822,CFFEBAFED401,-305,-326,468
01/08/2020 22:39:19.649,680773,AM1V310 @395030,86829,F3FE95FEC901,-269,-363,457
01/08/2020 22:39:19.683,680805,AM1V310 @395030,86835,26FF75FECF01,-218,-395,463
01/08/2020 22:39:19.738,680860,AM1V310 @395030,86841,2AFF93FEF001,-214,-365,496
01/08/2020 22:39:19.751,680873,AM1V310 @395030,86847,D0FED1FEF201,-304,-303,498
01/08/2020 22:39:19.829,680952,AM1V310 @395030,86854,81FE4AFFE601,-383,-182,486
01/08/2020 22:39:19.979,681101,AM1V310 @395030,86860,46FEB5FFBA01,-442,-75,442
01/08/2020 22:39:19.979,681102,AM1V310 @395030,86866,33FEF8FFB001,-461,-8,432
01/08/2020 22:39:20.013,681135,AM1V310 @395030,86872,46FE0A00BC01,-442,10,444
01/08/2020 22:39:20.013,681135,AM1V310 @395030,86879,4BFE1400BD01,-437,20,445
01/08/2020 22:39:20.039,681160,AM1V310 @395030,86885,42FED6FFBA01,-446,-42,442
01/08/2020 22:39:20.129,681252,AM1V310 @395030,86891,21FE95FF9501,-479,-107,405
01/08/2020 22:39:20.163,681285,AM1V310 @395030,86897,45FE2EFF9601,-443,-210,406
01/08/2020 22:39:20.219,681340,AM1V310 @395030,86904,81FEE6FEB601,-383,-282,438
01/08/2020 22:39:20.249,681370,AM1V310 @395030,86910,AFFEA7FEA701,-337,-345,423
01/08/2020 22:39:20.458,681582,AM1V310 @395030,86916,DFFE5FFE8601,-289,-417,390
01/08/2020 22:39:20.459,681583,AM1V310 @395030,86922,1BFF4EFEAB01,-229,-434,427
01/08/2020 22:39:20.491,681613,AM1V310 @395030,86929,2CFF78FEE301,-212,-392,483
01/08/2020 22:39:20.491,681613,AM1V310 @395030,86935,DFFECEFEF901,-289,-306,505
01/08/2020 22:39:20.579,681702,AM1V310 @395030,86941,87FE56FFE901,-377,-170,489
01/08/2020 22:39:20.579,681704,AM1V310 @395030,86947,4EFEBCFFC301,-434,-68,451
01/08/2020 22:39:20.669,681792,AM1V310 @395030,86954,4BFE1300BC01,-437,19,444
